,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,_metric/h_train_loss,_metric/r_train_loss,_metric/sum_train_loss,_metric/h_val_loss,_metric/r_val_loss,_metric/sum_val_loss,_metric/total_params,_metric/weighted_val_loss,config/adam_beta,config/batch_size,config/beta,config/checkpoint_dir,config/data_dir,config/delta,config/first_channels,config/lr,config/max_channels,config/n_convs,config/n_depthwise,config/num_epochs,config/upsampling_mode,logdir
62,249.27526712417605,True,True,,,1,840ef96d,48bc3a4f40904974939d8450b45b34df,2023-03-26_15-59-18,1679860758,249.27526712417605,15652,Roybatti,128.186.93.54,249.27526712417605,0,1,0.0023770332336425,0.0105230851297694,0.0064546370926985,0.0169777222890004,0.0085753033823088,0.0061005350031577,0.0146758384301752,96524,0.1684426247753891,0.9773079708639251,32,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.6945104500656522,16,0.0002273268870632948,1024,3,6,30,bilinear,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_840ef96d_91_adam_beta=0.9773,batch_size=32,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_d_2023-03-26_15-55-07"
63,1842.281014919281,True,True,,,2,77b4cfdc,26ef37e5f1ca4615ab52af987ce993c2,2023-03-26_17-01-15,1679864475,3713.276597261429,21110,Roybatti,128.186.93.54,3713.276597261429,0,2,0.0025193691253662,0.0026050034634197,0.0021082293251264,0.0047132327886526,0.0025930800585354,0.0018941743286804,0.0044872544008413,919948,0.0616193024248439,0.9838709388831622,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.39948928987435206,32,4.667939174682289e-06,512,4,3,30,bicubic,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_77b4cfdc_93_adam_beta=0.9839,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_15-59-20"
64,232.12121081352237,True,True,,,3,d35a22db,45d8fb860e65444c864de8acadfb8435,2023-03-26_17-12-58,1679865178,698.86514544487,83235,Roybatti,128.186.93.54,698.86514544487,0,3,0.0025978088378906,0.0007031617796596,0.0004314142399218,0.001134576025942,0.000677222664899,0.0004308906307488,0.001108113297351,1398284,0.0156806412551825,0.9875012963909924,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.10108514599181796,16,0.0001608567050822299,256,5,7,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_d35a22db_95_adam_beta=0.9875,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_17-01-18"
65,231.5644052028656,True,True,,,3,2251275a,45d8fb860e65444c864de8acadfb8435,2023-03-26_17-24-34,1679865874,696.0407521724701,83235,Roybatti,128.186.93.54,696.0407521724701,0,3,0.0025978088378906,0.001400143178591,0.0007544944302612,0.00215463762152,0.0013700085247682,0.0007502383907286,0.0021202469282708,1398284,0.0300030976382058,0.985484578926679,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.19648061197275193,16,6.745131272872218e-05,256,5,7,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_2251275a_96_adam_beta=0.9855,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_17-12-58"
66,230.8252739906311,True,True,,,3,fc8ef7ea,45d8fb860e65444c864de8acadfb8435,2023-03-26_17-36-07,1679866567,692.9216830730438,83235,Roybatti,128.186.93.54,692.9216830730438,0,3,0.0025978088378906,0.0006104942574588,0.0004284423536054,0.0010389366148433,0.0005802996109599,0.0004359423345239,0.0010162419516579,358412,0.0129971638825666,0.9703221915440627,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.10088697408277313,16,0.0003190094735914937,256,4,7,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_fc8ef7ea_97_adam_beta=0.9703,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_17-24-34"
67,231.3408133983612,True,True,,,3,d87a645a,45d8fb860e65444c864de8acadfb8435,2023-03-26_17-47-43,1679867263,695.2665646076202,83235,Roybatti,128.186.93.54,695.2665646076202,0,3,0.0025978088378906,0.0011106892902862,0.0006206773245976,0.0017313666198871,0.0010772219907285,0.0006146314895085,0.0016918534834305,1398284,0.0239410063875453,0.9803946512096057,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.15439635976985838,16,8.986674211321826e-05,256,5,7,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_d87a645a_98_adam_beta=0.9804,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_17-36-07"
68,230.01676273345947,True,True,,,3,9c12db85,45d8fb860e65444c864de8acadfb8435,2023-03-26_17-59-15,1679867955,692.1536417007446,83235,Roybatti,128.186.93.54,692.1536417007446,0,3,0.0025978088378906,0.0008397504104484,0.0007740387408554,0.0016137891501328,0.0008165596836682,0.0008648086759921,0.0016813683590216,358412,0.0215037571254717,0.9752998525744985,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.20620207015885544,16,0.001128934363145949,256,4,6,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_9c12db85_99_adam_beta=0.9753,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_17-47-43"
69,231.37757515907288,True,True,,,3,58bb0162,45d8fb860e65444c864de8acadfb8435,2023-03-26_18-10-49,1679868649,694.1900055408478,83235,Roybatti,128.186.93.54,694.1900055408478,0,3,0.0025978088378906,0.0006654687581368,0.000508173227423,0.0011736419888066,0.0006286183701919,0.0005127953054401,0.001141413679677,358412,0.0145980399927045,0.9693169856486208,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.12258573159358177,16,0.000428796428251782,2048,4,7,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_58bb0162_100_adam_beta=0.9693,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_2023-03-26_17-59-15"
70,229.3532612323761,True,True,,,3,947f8314,45d8fb860e65444c864de8acadfb8435,2023-03-26_18-22-17,1679869337,687.5877265930176,83235,Roybatti,128.186.93.54,687.5877265930176,0,3,0.0025978088378906,0.0009100147407618,0.0009015652820401,0.0018115800250375,0.0009072746622509,0.0013123591213222,0.0022196337952826,96524,0.0254759511217313,0.9551361074395537,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.2524612968796069,16,0.0035564320128165937,256,3,6,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_947f8314_101_adam_beta=0.9551,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_2023-03-26_18-10-49"
71,230.92680382728577,True,True,,,3,259c8b26,45d8fb860e65444c864de8acadfb8435,2023-03-26_18-33-50,1679870030,693.5134077072144,83235,Roybatti,128.186.93.54,693.5134077072144,0,3,0.0025978088378906,0.0009970643914887,0.0007011070650042,0.0016981714608575,0.0009358052435974,0.0006967322652439,0.0016325375079897,358412,0.0208792379621444,0.9697428879711218,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.18027026528303486,16,0.0003070270048835523,2048,4,7,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_259c8b26_102_adam_beta=0.9697,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_2023-03-26_18-22-17"
72,231.2983386516571,True,True,,,3,d8f41b50,45d8fb860e65444c864de8acadfb8435,2023-03-26_18-45-24,1679870724,693.9272201061249,83235,Roybatti,128.186.93.54,693.9272201061249,0,3,0.0025978088378906,0.0006900857941885,0.0005329262056462,0.0012230120005267,0.0006469196548089,0.0005326468457276,0.0011795665010688,358412,0.0150859931532711,0.9623631046192094,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.1293505144121924,16,0.0004374392346771135,2048,4,7,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_d8f41b50_103_adam_beta=0.9624,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_2023-03-26_18-33-50"
73,229.39430475234985,True,True,,,2,11e62290,45d8fb860e65444c864de8acadfb8435,2023-03-26_18-53-04,1679871184,459.49665999412537,83235,Roybatti,128.186.93.54,459.49665999412537,0,2,0.0025978088378906,0.0021837789571179,0.0012073445438717,0.0033911235124864,0.0021569598685442,0.0011433117172131,0.003300271588525,96524,0.0378790221415765,0.9714823198010651,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.32477264818796153,16,3.879357100763195e-05,2048,3,7,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_11e62290_104_adam_beta=0.9715,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_2023-03-26_18-45-24"
